timestamp,value,metric,app,chunk_owner,chunk_x,chunk_z,instance,job,name,namespace,pod_template_hash,server_name,world
2025-06-16 20:50:57.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.140.158:9100,minecraft-server,b1750105996187,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:58.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.140.158:9100,minecraft-server,b1750105996187,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:16.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.140.158:9100,minecraft-server,b1750106014124,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:17.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.140.158:9100,minecraft-server,b1750106014124,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:59.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.235.217:9100,minecraft-server,b1750106018051,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:49:00.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-1,10.244.235.217:9100,minecraft-server,b1750106018051,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:47:48.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:47:49.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:02.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:13.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105994394,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:14.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105994394,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:29.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105995797,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:30.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105995797,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:31.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-10,10.244.140.158:9100,minecraft-server,b1750105995797,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:47:59.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:00.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:48:01.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:15.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105994394,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:16.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105994394,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:32.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.140.158:9100,minecraft-server,b1750105995797,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:45.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.235.217:9100,minecraft-server,b1750106013342,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:49:46.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-11,10.244.235.217:9100,minecraft-server,b1750106013342,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:47:58.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-12,10.244.140.158:9100,minecraft-server,b1750105985201,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:17.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-12,10.244.140.158:9100,minecraft-server,b1750105994394,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:50:37.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-12,10.244.235.217:9100,minecraft-server,b1750106005556,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:50:38.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-12,10.244.235.217:9100,minecraft-server,b1750106005556,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:50:22.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-14,10.244.235.217:9100,minecraft-server,b1750105997606,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:50:23.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-14,10.244.235.217:9100,minecraft-server,b1750105997606,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
2025-06-16 20:50:56.996000051,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-15,10.244.140.158:9100,minecraft-server,b1750106001189,multipaper,5d4c584f66,multipaper-server-5d4c584f66-ll7ns,world
2025-06-16 20:49:08.660000086,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-752ch,-1,-15,10.244.235.217:9100,minecraft-server,b1750105993921,multipaper,5d4c584f66,multipaper-server-5d4c584f66-752ch,world
