timestamp,value,metric,app,chunk_owner,chunk_x,chunk_z,instance,job,name,namespace,pod_template_hash,server_name,world
2025-06-19 12:56:00.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:01.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:02.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:03.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:04.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:05.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:06.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:07.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:08.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:09.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:10.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:11.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:12.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:13.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:14.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:15.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:16.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:17.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:18.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:19.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:20.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:21.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:22.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
2025-06-19 12:56:23.272000074,1.0,mc_player_location,multipaper-server,multipaper-server-5d4c584f66-c66gm,-11,-8,10.244.140.179:9100,minecraft-server,b1750337388808,multipaper,5d4c584f66,multipaper-server-5d4c584f66-c66gm,world
